Order Date,Order ID,Quantity,Customer Name,Segment,Product Name,Category,Manufacturer,City,State,Region,Ship Date,Ship Mode,Discount,Profit,Profit Ratio,Sales,unit price,sub category,shipping price,month,name_city_state,order_category,retail_price,Diff_ship_order
1/3/2015,CA-2015-100006,3,Dennis Kane,Consumer,AT&T EL51110 DECT,Technology,AT&T,New York City,New York,East,1/6/2015,Standard Class,0,110,0.29,378,126,Phones,10.09,1,"Dennis Kane, New York City, New York",High,126,3
1/4/2015,CA-2015-100090,3,Ed Braxton,Corporate,Hon 2111 Invitation Series Corner Table,Furniture,Hon,San Francisco,California,West,1/9/2015,Standard Class,0.2,-88,-0.18,502,209.17,Tables,10.99,1,"Ed Braxton, San Francisco, California",Loss,209.17,5
1/4/2015,CA-2015-100090,6,Ed Braxton,Corporate,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Wilson Jones,San Francisco,California,West,1/9/2015,Standard Class,0.2,69,0.35,197,41.04,Binders,10.99,1,"Ed Braxton, San Francisco, California",High,41.04,5
1/4/2015,CA-2015-100293,6,Neil Französisch,Home Office,Xerox 1887,Office Supplies,Xerox,Jacksonville,Florida,South,1/7/2015,Standard Class,0.2,32,0.35,91,18.96,Paper,14.61,1,"Neil Französisch, Jacksonville, Florida",Low,18.96,3
1/5/2015,CA-2015-100328,1,Jasper Cacioppo,Consumer,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Pressboard,New York City,New York,East,1/15/2015,Standard Class,0.2,1,0.34,4,5,Binders,10.09,1,"Jasper Cacioppo, New York City, New York",Low,5,10
1/6/2015,CA-2015-100363,2,Jim Mitchum,Corporate,Binder Clips by OIC,Office Supplies,OIC,Glendale,Arizona,West,1/11/2015,Standard Class,0.2,1,0.35,2,1.25,Fasteners,10.53,1,"Jim Mitchum, Glendale, Arizona",Low,1.25,5
1/6/2015,CA-2015-100678,3,Kunst Miller,Consumer,Cameo Buff Policy Envelopes,Office Supplies,Other,Houston,Texas,Central,1/13/2015,Standard Class,0.2,50,0.34,149,62.08,Envelopes,11.99,1,"Kunst Miller, Houston, Texas",High,62.08,7
1/6/2015,CA-2015-100706,2,Laurel Elliston,Consumer,Case Logic 2.4GHz Wireless Keyboard,Technology,Other,Springfield,Virginia,South,1/16/2015,Second Class,0,8,0.08,100,50,Accessories,8.55,1,"Laurel Elliston, Springfield, Virginia",Low,50,10
1/6/2015,CA-2015-100678,3,Kunst Miller,Consumer,DMI Arturo Collection Mission-style Design Wood Chair,Furniture,DMI,Houston,Texas,Central,1/13/2015,Standard Class,0.3,-18,-0.06,317,150.95,Chairs,11.99,1,"Kunst Miller, Houston, Texas",Loss,150.95,7
1/6/2015,CA-2015-100678,3,Kunst Miller,Consumer,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Kensington,Houston,Texas,Central,1/13/2015,Standard Class,0.2,28,0.13,228,95,Accessories,11.99,1,"Kunst Miller, Houston, Texas",High,95,7
1/6/2015,CA-2015-100678,2,Kunst Miller,Consumer,Prang Dustless Chalk Sticks,Office Supplies,Prang,Houston,Texas,Central,1/13/2015,Standard Class,0.2,1,0.38,3,1.88,Art,11.99,1,"Kunst Miller, Houston, Texas",Low,1.88,7
1/6/2015,CA-2015-100391,2,Barry Weirich,Consumer,Strathmore Photo Frame Cards,Office Supplies,Strathmore,New York City,New York,East,1/9/2015,Standard Class,0,7,0.46,15,7.5,Paper,10.09,1,"Barry Weirich, New York City, New York",Low,7.5,3
1/6/2015,CA-2015-100363,3,Jim Mitchum,Corporate,Things To Do Today Spiral Book,Office Supplies,Things To Do,Glendale,Arizona,West,1/11/2015,Standard Class,0.2,7,0.36,19,7.92,Paper,10.53,1,"Jim Mitchum, Glendale, Arizona",Low,7.92,5
1/6/2015,CA-2015-100706,6,Laurel Elliston,Consumer,Ultra Door Push Plate,Furniture,Ultra,Springfield,Virginia,South,1/16/2015,Second Class,0,10,0.33,29,4.83,Furnishings,8.55,1,"Laurel Elliston, Springfield, Virginia",Low,4.83,10
1/7/2015,CA-2015-100762,2,Nat Gilpin,Corporate,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Adams,Jackson,Michigan,Central,1/16/2015,Standard Class,0,8,0.5,16,8,Paper,13.85,1,"Nat Gilpin, Jackson, Michigan",Low,8,9
1/7/2015,CA-2015-100762,3,Nat Gilpin,Corporate,Xerox 1885,Office Supplies,Xerox,Jackson,Michigan,Central,1/16/2015,Standard Class,0,69,0.48,144,48,Paper,13.85,1,"Nat Gilpin, Jackson, Michigan",High,48,9
1/9/2015,CA-2015-100762,2,Nat Gilpin,Corporate,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Other,Jackson,Michigan,Central,1/16/2015,Standard Class,0,96,0.49,197,98.5,Labels,13.85,1,"Nat Gilpin, Jackson, Michigan",High,98.5,7
1/9/2015,CA-2015-100762,4,Nat Gilpin,Corporate,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Hunt,Jackson,Michigan,Central,1/16/2015,Standard Class,0,46,0.3,152,38,Art,13.85,1,"Nat Gilpin, Jackson, Michigan",High,38,7
1/10/2015,CA-2015-100867,6,Eugene Hildebrand,Home Office,RCA Visys Integrated PBX 8-Line Router,Technology,RCA,Lakewood,California,West,1/15/2015,Standard Class,0.2,20,0.06,322,67.08,Phones,7.81,1,"Eugene Hildebrand, Lakewood, California",Low,67.08,5
1/10/2015,CA-2015-100860,5,Cindy Stewart,Consumer,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Office Supplies,Smead,Pomona,California,West,1/15/2015,Second Class,0,9,0.48,19,3.8,Labels,6.12,1,"Cindy Stewart, Pomona, California",Low,3.8,5
1/11/2015,CA-2015-100881,3,Daniel Raglin,Home Office,AT&T TR1909W,Technology,AT&T,Albuquerque,New Mexico,West,1/23/2015,Standard Class,0.2,23,0.08,302,125.83,Phones,8.4,1,"Daniel Raglin, Albuquerque, New Mexico",High,125.83,12
1/13/2015,CA-2015-101175,6,Dario Medina,Corporate,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Acco,Mesa,Arizona,West,1/15/2015,Standard Class,0.2,-1,-0.01,101,21.04,Storage,10.67,1,"Dario Medina, Mesa, Arizona",Loss,21.04,2
1/13/2015,CA-2015-100916,5,Frank Hawley,Corporate,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Eldon,Newport News,Virginia,South,1/18/2015,Standard Class,0,10,0.05,195,39,Storage,5.2,1,"Frank Hawley, Newport News, Virginia",Low,39,5
1/13/2015,CA-2015-100916,4,Frank Hawley,Corporate,Hon 2111 Invitation Series Straight Table,Furniture,Hon,Newport News,Virginia,South,1/18/2015,Standard Class,0,112,0.19,591,147.75,Tables,5.2,1,"Frank Hawley, Newport News, Virginia",High,147.75,5
1/13/2015,CA-2015-100895,2,Stewart Visinsky,Consumer,"Hot File 7-Pocket, Floor Stand",Office Supplies,Other,Roswell,Georgia,South,1/22/2015,Standard Class,0,107,0.3,357,178.5,Storage,12.64,1,"Stewart Visinsky, Roswell, Georgia",High,178.5,9
1/13/2015,CA-2015-101364,13,Tamara Willingham,Home Office,Lock-Up Easel 'Spel-Binder',Office Supplies,Other,New York City,New York,East,1/21/2015,Standard Class,0.2,100,0.34,297,28.56,Binders,10.09,1,"Tamara Willingham, New York City, New York",High,28.56,8
1/13/2015,CA-2015-100895,3,Stewart Visinsky,Consumer,Mophie Juice Pack Helium for iPhone,Technology,Other,Roswell,Georgia,South,1/22/2015,Standard Class,0,67,0.28,240,80,Phones,12.64,1,"Stewart Visinsky, Roswell, Georgia",High,80,9
1/13/2015,CA-2015-100895,2,Stewart Visinsky,Consumer,"Sanford Colorific Scented Colored Pencils, 12/Pack",Office Supplies,Sanford,Roswell,Georgia,South,1/22/2015,Standard Class,0,3,0.31,9,4.5,Art,12.64,1,"Stewart Visinsky, Roswell, Georgia",Low,4.5,9
1/13/2015,CA-2015-100916,1,Frank Hawley,Corporate,SANFORD Liquid Accent Tank-Style Highlighters,Office Supplies,Sanford,Newport News,Virginia,South,1/18/2015,Standard Class,0,1,0.31,3,3,Art,5.2,1,"Frank Hawley, Newport News, Virginia",Low,3,5
1/13/2015,CA-2015-101147,1,Matt Collins,Consumer,Staple holder,Office Supplies,Staple holder,Chicago,Illinois,Central,1/19/2015,First Class,0.8,-6,-2.65,2,10,Appliances,15.15,1,"Matt Collins, Chicago, Illinois",Loss,10,6
